order_id,product_id,order_date,ship_date,delivery_days,order_year,order_month
CA-2012-AH10030140-41041,OFF-PA-4014,2012-12-05,2012-05-18,6,2012,5
IN-2015-CS1246011-42074,FUR-BO-5760,2015-11-03,2015-03-13,2,2015,3
CA-2015-AH10030140-42357,OFF-AR-3276,2015-12-19,2015-12-23,4,2015,12
ES-2015-MS1798048-42227,TEC-PH-5839,2015-11-08,2015-08-16,5,2015,8
IT-2014-KC1667548-41882,TEC-PH-3130,2014-08-31,2014-03-09,3,2014,8
IN-2015-DB1340527-42022,FUR-CH-5774,2015-01-18,2015-01-23,5,2015,1
CA-2015-AS10045140-42007,TEC-MA-3788,2015-03-01,2015-05-01,2,2015,1
IT-2015-DK13090120-42345,FUR-BO-5760,2015-07-12,2015-08-12,1,2015,12
IN-2015-CS1184558-42354,FUR-TA-3779,2015-12-16,2015-12-19,3,2015,12
MX-2015-EM1420082-42328,TEC-PH-5839,2015-11-20,2015-11-20,0,2015,11
UP-2012-DW3480137-41221,FUR-TA-3771,2012-08-11,2012-10-11,2,2012,11
IN-2014-AS1022527-41797,FUR-CH-4530,2014-07-06,2014-09-06,2,2014,6
MX-2012-ST2053093-41234,OFF-AP-4497,2012-11-21,2012-11-22,1,2012,11
CG-2014-BW106533-41727,FUR-CH-4530,2014-03-29,2014-03-31,2,2014,3
IN-2015-LA1678059-42242,FUR-TA-3422,2015-08-26,2015-08-27,1,2015,8
ES-2013-AB10150139-41537,TEC-PH-5355,2013-09-20,2013-09-22,2,2013,9
IN-2015-JH158207-42140,TEC-PH-3147,2015-05-16,2015-05-18,2,2015,5
CA-2015-AS10045140-42218,TEC-MA-3329,2015-02-08,2015-08-08,6,2015,8
ES-2014-BE1141048-41967,TEC-CO-3599,2014-11-24,2014-11-25,1,2014,11
IN-2012-SZ2003527-41221,TEC-CO-6010,2012-08-11,2012-10-11,2,2012,11
IN-2012-RM1937558-41209,FUR-CH-5380,2012-10-27,2012-10-27,0,2012,10
ES-2015-HG1484545-42327,FUR-CH-4654,2015-11-19,2015-11-23,4,2015,11
MO-2015-DP310586-42305,TEC-CO-3710,2015-10-28,2015-10-30,2,2015,10
CA-2014-AS10045140-41908,FUR-BO-3176,2014-09-26,2014-09-28,2,2014,9
US-2015-AS10045140-42252,OFF-BI-3324,2015-05-09,2015-06-09,1,2015,9
ES-2014-JB1600048-41668,TEC-PH-5268,2014-01-29,2014-05-02,7,2014,1
ID-2013-AM1070559-41535,OFF-AP-4501,2013-09-18,2013-09-21,3,2013,9
MO-2014-AB25586-41966,OFF-AP-4745,2014-11-23,2014-11-23,0,2014,11
IN-2013-RP192707-41438,TEC-CO-3611,2013-06-13,2013-06-13,0,2013,6
IN-2014-BK1126011-41940,FUR-BO-4849,2014-10-28,2014-10-31,3,2014,10
IN-2014-JM1525027-41985,TEC-CO-3678,2014-12-12,2014-12-14,2,2014,12
IN-2013-GP1474058-41419,TEC-PH-5356,2013-05-25,2013-05-28,3,2013,5
CA-2015-AS10045140-42281,FUR-TA-5066,2015-04-10,2015-09-10,5,2015,10
ES-2014-NZ1856545-41975,OFF-AP-4508,2014-02-12,2014-02-12,0,2014,12
CA-2015-AS10045140-42007,OFF-BI-3308,2015-03-01,2015-05-01,2,2015,1
ID-2014-SC20695102-41667,FUR-CH-5443,2014-01-28,2014-01-30,2,2014,1
IN-2013-NC186257-41401,FUR-TA-3422,2013-07-05,2013-07-05,0,2013,5
ES-2014-NF183858-41970,FUR-BO-4849,2014-11-27,2014-11-29,2,2014,11
IN-2013-NZ185657-41606,FUR-CH-5774,2013-11-28,2013-02-12,4,2013,11
IT-2013-PM1894045-41546,TEC-MA-5572,2013-09-29,2013-09-29,0,2013,9
ES-2014-MZ1733545-41885,OFF-AP-4503,2014-03-09,2014-05-09,2,2014,9
CG-2014-HM498033-41846,TEC-PH-5268,2014-07-26,2014-01-08,6,2014,7
IN-2015-RW195407-42327,TEC-PH-3806,2015-11-19,2015-11-25,6,2015,11
ES-2013-LH1715545-41444,TEC-PH-5840,2013-06-19,2013-06-19,0,2013,6
MX-2013-FH1436582-41558,TEC-PH-5839,2013-11-10,2013-10-14,3,2013,10
ES-2012-KM1666048-41129,TEC-CO-5999,2012-08-08,2012-10-08,2,2012,8
ES-2012-PO1886545-41217,TEC-PH-3807,2012-04-11,2012-08-11,4,2012,11
US-2012-AS10045140-41116,OFF-PA-6512,2012-07-26,2012-01-08,6,2012,7
MX-2014-AB1006028-41755,FUR-BO-3891,2014-04-26,2014-04-28,2,2014,4
IN-2014-DB130607-41999,OFF-AP-3575,2014-12-26,2014-12-26,0,2014,12
IT-2014-VM2168591-41711,FUR-CH-5442,2014-03-13,2014-03-13,0,2014,3
CA-2014-AS10045140-41727,OFF-ST-4516,2014-03-29,2014-01-04,3,2014,3
ES-2013-DM1352548-41369,TEC-PH-3149,2013-05-04,2013-05-04,0,2013,4
ES-2013-NM18520120-41634,FUR-BO-5948,2013-12-26,2013-12-28,2,2013,12
IN-2014-LC168857-41747,TEC-CO-6012,2014-04-18,2014-04-19,1,2014,4
IN-2012-RO1978027-41052,OFF-AP-4738,2012-05-23,2012-05-25,2,2012,5
CA-2015-AS10045140-42218,OFF-PA-6557,2015-02-08,2015-08-08,6,2015,8
ES-2014-EM1406548-41775,TEC-CO-4593,2014-05-16,2014-05-20,4,2014,5
CA-2015-AS10045140-42007,OFF-BI-3185,2015-03-01,2015-05-01,2,2015,1
IT-2012-ON1871545-40955,FUR-CH-5774,2012-02-16,2012-02-19,3,2012,2
IN-2014-VS2182027-41790,FUR-BO-3639,2014-05-31,2014-02-06,2,2014,5
IN-2014-CM121157-41913,TEC-CO-4790,2014-01-10,2014-02-10,1,2014,10
CA-2015-AB10060140-42315,FUR-TA-4622,2015-07-11,2015-11-14,7,2015,11
CA-2014-AB10060140-41884,OFF-BI-4340,2014-02-09,2014-04-09,2,2014,9
ID-2014-JK153257-41984,TEC-CO-3709,2014-11-12,2014-12-14,3,2014,12
IT-2015-RP1927045-42081,TEC-CO-5998,2015-03-18,2015-03-21,3,2015,3
IN-2015-DW1354078-42357,TEC-PH-3806,2015-12-19,2015-12-20,1,2015,12
CA-2015-AB10060140-42315,FUR-CH-4613,2015-07-11,2015-11-14,7,2015,11
US-2014-AB10060140-41712,OFF-AP-4221,2014-03-14,2014-03-19,5,2014,3
CA-2015-AB10060140-42315,TEC-AC-5858,2015-07-11,2015-11-14,7,2015,11
MX-2015-GM1444037-42265,TEC-CO-3587,2015-09-18,2015-09-18,0,2015,9
IN-2014-SV2081558-41968,TEC-CO-4577,2014-11-25,2014-11-27,2,2014,11
IN-2014-MM1792027-41950,TEC-AC-3405,2014-07-11,2014-10-11,3,2014,11
IN-2015-JK1612059-42204,FUR-BO-5761,2015-07-19,2015-07-23,4,2015,7
ID-2013-EM14200130-41502,TEC-PH-5268,2013-08-16,2013-08-16,0,2013,8
CA-2015-AB10060140-42314,OFF-PA-6214,2015-06-11,2015-08-11,2,2015,11
IN-2013-PM1894059-41284,FUR-BO-5787,2013-10-01,2013-01-14,4,2013,1
MX-2014-AT1043582-41667,OFF-AP-4736,2014-01-28,2014-01-30,2,2014,1
ID-2013-AB1001527-41439,TEC-MA-6150,2013-06-14,2013-06-17,3,2013,6
CA-2015-AB10060140-42314,OFF-FA-6129,2015-06-11,2015-08-11,2,2015,11
CA-2014-AB10060140-41884,OFF-PA-6430,2014-02-09,2014-04-09,2,2014,9
MX-2013-PV1898518-41614,TEC-AC-5223,2013-06-12,2013-08-12,2,2013,12
IT-2014-SB2029064-41887,TEC-CO-4590,2014-05-09,2014-07-09,2,2014,9
SO-2015-SM10005116-42265,TEC-PH-5839,2015-09-18,2015-09-20,2,2015,9
CA-2014-AB10060140-41884,OFF-PA-6430,2014-02-09,2014-04-09,2,2014,9
IN-2013-KH1633059-41489,OFF-AP-4960,2013-03-08,2013-08-08,5,2013,8
IN-2015-MP181757-42347,TEC-PH-3149,2015-09-12,2015-11-12,2,2015,12
IN-2013-LH1702027-41572,TEC-CO-3597,2013-10-25,2013-10-28,3,2013,10
CA-2015-AB10060140-42132,TEC-AC-5109,2015-08-05,2015-05-13,5,2015,5
ID-2014-CR126257-41878,FUR-BO-5763,2014-08-27,2014-08-29,2,2014,8
IN-2012-NC1862511-41041,TEC-AC-3403,2012-12-05,2012-05-16,4,2012,5
IT-2012-GM1468091-41215,OFF-AP-4745,2012-02-11,2012-05-11,3,2012,11
ES-2015-RA1994545-42218,FUR-BO-3624,2015-02-08,2015-03-08,1,2015,8
ES-2012-DB1306048-41171,TEC-CO-4789,2012-09-19,2012-09-21,2,2012,9
US-2014-AB10060140-41712,FUR-FU-4762,2014-03-14,2014-03-19,5,2014,3
IN-2014-RF197357-41709,TEC-PH-5268,2014-11-03,2014-03-15,4,2014,3
ES-2013-JH1582048-41306,TEC-PH-3806,2013-01-02,2013-04-02,3,2013,2
US-2014-AB10060140-41712,OFF-BI-4819,2014-03-14,2014-03-19,5,2014,3
MX-2015-DM1295551-42103,FUR-TA-5064,2015-09-04,2015-04-13,4,2015,4
CA-2014-AB10060140-41881,OFF-SU-2972,2014-08-30,2014-04-09,5,2014,8
MX-2015-BE1133582-42082,OFF-AP-4745,2015-03-19,2015-03-21,2,2015,3
IN-2014-SO2033527-41914,OFF-AP-4502,2014-02-10,2014-04-10,2,2014,10
ES-2014-DK12835120-41651,OFF-AP-4507,2014-12-01,2014-01-15,3,2014,1
SA-2015-LC7050110-42236,TEC-PH-3806,2015-08-20,2015-08-25,5,2015,8
IN-2012-PB19210127-41259,FUR-TA-5065,2012-12-16,2012-12-19,3,2012,12
IN-2015-CG125207-42077,OFF-AP-4745,2015-03-14,2015-03-18,4,2015,3
CA-2013-AB10060140-41535,OFF-PA-6420,2013-09-18,2013-09-24,6,2013,9
ID-2015-HG1502559-42194,FUR-BO-5787,2015-09-07,2015-07-13,4,2015,7
ID-2014-AD1018059-41801,FUR-CH-4532,2014-11-06,2014-06-15,4,2014,6
ES-2012-BP11155139-41130,TEC-PH-3805,2012-09-08,2012-08-16,7,2012,8
ID-2015-AA10480130-42080,TEC-PH-5840,2015-03-17,2015-03-21,4,2015,3
ID-2014-RL196157-41641,FUR-BO-3639,2014-02-01,2014-03-01,1,2014,1
CA-2014-AB10060140-41884,OFF-BI-2911,2014-02-09,2014-04-09,2,2014,9
ID-2013-SW2024559-41557,TEC-PH-5840,2013-10-10,2013-11-10,1,2013,10
CA-2014-AB10060140-41884,TEC-AC-5744,2014-02-09,2014-04-09,2,2014,9
IN-2012-BW1111027-41076,FUR-TA-3420,2012-06-16,2012-06-18,2,2012,6
ES-2015-YC21895139-42097,FUR-BO-3639,2015-03-04,2015-05-04,2,2015,4
MX-2012-JM1558082-41045,TEC-PH-5355,2012-05-16,2012-05-19,3,2012,5
BO-2015-MZ733513-42046,FUR-CH-4654,2015-11-02,2015-02-15,4,2015,2
ES-2014-JF15295120-41924,TEC-AC-4185,2014-12-10,2014-12-10,0,2014,10
CA-2015-AB10060140-42264,OFF-PA-6596,2015-09-17,2015-09-22,5,2015,9
UP-2015-DJ3510137-42202,OFF-AP-4738,2015-07-17,2015-07-19,2,2015,7
ES-2015-MF1825045-42330,TEC-MA-4205,2015-11-22,2015-11-28,6,2015,11
IT-2012-TC2129545-41058,FUR-TA-4642,2012-05-29,2012-01-06,3,2012,5
CA-2015-AB10060140-42314,OFF-PA-3114,2015-06-11,2015-08-11,2,2015,11
IN-2015-CP1234058-42202,OFF-AP-4502,2015-07-17,2015-07-20,3,2015,7
ES-2015-EH1412545-42245,TEC-PH-3148,2015-08-29,2015-03-09,5,2015,8
IN-2013-NC183407-41634,FUR-TA-5054,2013-12-26,2013-12-26,0,2013,12
IN-2015-BF1100558-42319,OFF-AP-3577,2015-11-11,2015-11-15,4,2015,11
ID-2014-JS1603059-41760,FUR-TA-5072,2014-01-05,2014-04-05,3,2014,5
ES-2012-AM10360139-41136,TEC-PH-5354,2012-08-15,2012-08-20,5,2012,8
IN-2015-JF1519021-42341,FUR-TA-4706,2015-03-12,2015-07-12,4,2015,12
IN-2014-AB100157-41815,FUR-CH-4654,2014-06-25,2014-06-29,4,2014,6
ES-2014-JG15160139-41660,FUR-TA-3344,2014-01-21,2014-01-24,3,2014,1
CA-2015-AH10075140-42301,FUR-TA-5421,2015-10-24,2015-10-25,1,2015,10
IN-2015-AG1033059-42197,OFF-AP-3574,2015-12-07,2015-07-14,2,2015,7
CA-2015-AH10075140-42301,FUR-FU-3936,2015-10-24,2015-10-25,1,2015,10
ES-2015-NF1847548-42248,OFF-AP-3581,2015-01-09,2015-01-09,0,2015,9
CA-2015-AH10075140-42301,FUR-TA-4943,2015-10-24,2015-10-25,1,2015,10
IN-2012-DR129407-41066,OFF-AP-4966,2012-06-06,2012-10-06,4,2012,6
ES-2012-NB1865548-41194,OFF-ST-6049,2012-12-10,2012-12-10,0,2012,10
IN-2014-NM1844527-41800,TEC-CO-5991,2014-10-06,2014-10-06,0,2014,6
IN-2015-TA213857-42351,OFF-AP-4508,2015-12-13,2015-12-17,4,2015,12
CA-2014-AH10075140-41898,OFF-BI-4338,2014-09-16,2014-09-21,5,2014,9
ID-2015-SC20380102-42165,OFF-AP-3580,2015-10-06,2015-11-06,1,2015,6
SF-2012-PA9060117-40954,OFF-ST-6047,2012-02-15,2012-02-16,1,2012,2
ES-2014-RB19570120-41971,FUR-BO-5760,2014-11-28,2014-04-12,6,2014,11
CA-2014-AH10075140-41817,OFF-SU-5635,2014-06-27,2014-06-27,0,2014,6
CA-2015-AH10075140-42110,FUR-FU-4756,2015-04-16,2015-04-19,3,2015,4
US-2012-LH1675036-41129,TEC-PH-5839,2012-08-08,2012-08-08,0,2012,8
CA-2014-AH10075140-41991,TEC-AC-6351,2014-12-18,2014-12-22,4,2014,12
IN-2013-KB1658527-41488,TEC-CO-3608,2013-02-08,2013-04-08,2,2013,8
ES-2013-LH1715545-41444,OFF-AP-4507,2013-06-19,2013-06-19,0,2013,6
CA-2015-AH1007523-42101,OFF-ST-4257,2015-07-04,2015-12-04,5,2015,4
IR-2014-MZ751560-41853,TEC-MA-4210,2014-02-08,2014-02-08,0,2014,8
IN-2015-DM1334558-42146,OFF-ST-4266,2015-05-22,2015-05-25,3,2015,5
ID-2012-CA1196566-40949,TEC-PH-5841,2012-10-02,2012-02-15,5,2012,2
ES-2014-SC20305120-41909,FUR-BO-3903,2014-09-27,2014-09-27,0,2014,9
IN-2015-MH1811558-42157,FUR-BO-4862,2015-02-06,2015-04-06,2,2015,6
IN-2014-KS163007-41912,FUR-BO-3640,2014-09-30,2014-03-10,3,2014,9
IN-2012-BG1174078-41108,TEC-PH-5356,2012-07-18,2012-07-19,1,2012,7
RS-2015-CR2625108-42230,FUR-BO-5950,2015-08-14,2015-08-16,2,2015,8
CA-2015-AH10075140-42301,FUR-FU-4022,2015-10-24,2015-10-25,1,2015,10
IN-2015-DK1309027-42308,TEC-CO-3611,2015-10-31,2015-03-11,3,2015,10
IN-2014-JL1583527-41845,TEC-PH-3806,2014-07-25,2014-07-30,5,2014,7
IN-2015-AP1072058-42284,TEC-PH-5269,2015-07-10,2015-11-10,4,2015,10
IN-2015-CR1282058-42294,TEC-PH-5356,2015-10-17,2015-10-21,4,2015,10
IN-2014-BF110807-41976,FUR-CH-4531,2014-03-12,2014-06-12,3,2014,12
IN-2015-JM15265102-42316,OFF-AP-3571,2015-08-11,2015-10-11,2,2015,11
IN-2014-NM1844527-41800,FUR-CH-5378,2014-10-06,2014-10-06,0,2014,6
IT-2012-TW2102545-41172,FUR-BO-5760,2012-09-20,2012-09-22,2,2012,9
IT-2012-RB1933045-41080,FUR-CH-4530,2012-06-20,2012-06-23,3,2012,6
CA-2015-AH10075140-42273,OFF-SU-3839,2015-09-26,2015-09-29,3,2015,9
CA-2015-AH10075140-42144,FUR-CH-5429,2015-05-20,2015-05-25,5,2015,5
SF-2015-AB10060117-42334,OFF-AP-4732,2015-11-26,2015-11-29,3,2015,11
EG-2013-JR567038-41363,TEC-PH-5355,2013-03-30,2013-01-04,2,2013,3
MX-2012-MD1735028-41222,OFF-AP-4962,2012-09-11,2012-11-14,5,2012,11
CA-2015-AH10075140-42301,OFF-PA-6415,2015-10-24,2015-10-25,1,2015,10
ES-2013-EB13840139-41487,OFF-AP-4743,2013-01-08,2013-06-08,5,2013,8
CA-2014-AH10075140-41991,OFF-PA-6577,2014-12-18,2014-12-22,4,2014,12
CA-2014-AH10075140-41817,OFF-FA-5459,2014-06-27,2014-06-27,0,2014,6
CA-2014-AH10075140-41817,OFF-PA-3115,2014-06-27,2014-06-27,0,2014,6
AJ-2014-JL58359-41662,FUR-TA-3358,2014-01-23,2014-01-27,4,2014,1
IN-2012-EP1391559-41049,FUR-BO-5967,2012-05-20,2012-05-24,4,2012,5
ES-2015-MS17770139-42275,FUR-BO-3626,2015-09-28,2015-01-10,3,2015,9
IT-2012-CM1265545-41218,TEC-MA-5007,2012-05-11,2012-07-11,2,2012,11
LH-2015-JC610575-42032,FUR-TA-3345,2015-01-28,2015-01-30,2,2015,1
IN-2015-GB145307-42260,TEC-CO-4593,2015-09-13,2015-09-19,6,2015,9
CA-2015-AH10075140-42335,OFF-AR-5327,2015-11-27,2015-01-12,4,2015,11
US-2012-JH161805-41264,TEC-PH-3149,2012-12-21,2012-12-23,2,2012,12
EG-2014-MT807038-41675,FUR-BO-5951,2014-05-02,2014-07-02,2,2014,2
IN-2012-AB1010558-41270,TEC-CO-6010,2012-12-27,2012-12-28,1,2012,12
CA-2015-AH10075140-42301,OFF-AP-4739,2015-10-24,2015-10-25,1,2015,10
LT-2012-CV280572-41025,TEC-PH-5354,2012-04-26,2012-04-29,3,2012,4
IN-2012-NH1861092-41187,FUR-TA-4645,2012-05-10,2012-10-10,5,2012,10
ID-2014-HJ1487527-41875,FUR-TA-5065,2014-08-24,2014-08-26,2,2014,8
MX-2014-JL1517518-41903,FUR-CH-5776,2014-09-21,2014-09-24,3,2014,9
MX-2015-MY1829593-42355,OFF-AP-4505,2015-12-17,2015-12-19,2,2015,12
CA-2012-AH10075140-41228,OFF-LA-5591,2012-11-15,2012-11-21,6,2012,11
CA-2013-AH10075140-41629,OFF-AR-5458,2013-12-21,2013-12-23,2,2013,12
CA-2015-AH10075140-42273,OFF-BI-3301,2015-09-26,2015-09-29,3,2015,9
MX-2015-KC1654093-42158,OFF-AP-4507,2015-03-06,2015-07-06,4,2015,6
MX-2015-CS1246093-42259,TEC-PH-5354,2015-12-09,2015-09-14,2,2015,9
IN-2015-HA1492027-42111,TEC-PH-3148,2015-04-17,2015-04-17,0,2015,4
ES-2013-MT1781545-41599,TEC-MA-5017,2013-11-21,2013-11-24,3,2013,11
ES-2015-FW1439545-42069,FUR-BO-3627,2015-06-03,2015-08-03,2,2015,3
ES-2013-BH1171048-41478,TEC-PH-3807,2013-07-23,2013-07-28,5,2013,7
ID-2015-DK1289559-42315,OFF-AP-4964,2015-07-11,2015-09-11,2,2015,11
MX-2015-KD1627018-42330,FUR-CH-4544,2015-11-22,2015-11-24,2,2015,11
ES-2012-SC208458-41070,FUR-BO-4848,2012-10-06,2012-06-13,3,2012,6
MX-2013-CY1274582-41531,TEC-CO-6010,2013-09-14,2013-09-19,5,2013,9
IN-2012-HL150407-41237,TEC-CO-3596,2012-11-24,2012-11-24,0,2012,11
IN-2013-CT1199566-41496,TEC-CO-4591,2013-10-08,2013-12-08,2,2013,8
ES-2014-CC12370139-41718,OFF-AP-3573,2014-03-20,2014-03-23,3,2014,3
LT-2014-GR456072-42003,TEC-CO-3688,2014-12-30,2015-04-01,5,2014,12
IN-2013-TT2107058-41551,FUR-CH-4656,2013-04-10,2013-09-10,5,2013,10
IT-2013-PO19195120-41492,TEC-PH-3146,2013-06-08,2013-07-08,1,2013,8
IN-2013-ED13885144-41549,FUR-CH-4530,2013-02-10,2013-02-10,0,2013,10
IN-2015-AP1091559-42089,OFF-AP-4966,2015-03-26,2015-03-29,3,2015,3
MX-2015-TM2149031-42329,TEC-CO-3597,2015-11-21,2015-11-21,0,2015,11
IT-2012-AW1084091-41242,TEC-CO-4792,2012-11-29,2012-11-30,1,2012,11
IN-2012-DP131057-41215,FUR-CH-4530,2012-02-11,2012-04-11,2,2012,11
CA-2015-AH10075140-42144,OFF-PA-6504,2015-05-20,2015-05-25,5,2015,5
RO-2013-SG10605107-41614,TEC-CO-4571,2013-06-12,2013-06-12,0,2013,12
MX-2014-BM1178582-41976,TEC-PH-5839,2014-03-12,2014-04-12,1,2014,12
MX-2013-FH1436582-41628,TEC-PH-3806,2013-12-20,2013-12-24,4,2013,12
MX-2013-DK1337582-41530,TEC-PH-3148,2013-09-13,2013-09-15,2,2013,9
CA-2015-AS10090140-42264,OFF-BI-4343,2015-09-17,2015-09-19,2,2015,9
CA-2012-AS10090140-41173,FUR-CH-5430,2012-09-21,2012-09-28,7,2012,9
CA-2013-AS10090140-41587,FUR-TA-3427,2013-09-11,2013-11-13,4,2013,11
TU-2013-SF10200134-41417,TEC-PH-5815,2013-05-23,2013-05-26,3,2013,5
CA-2014-AS10090140-41812,FUR-BO-5529,2014-06-22,2014-06-27,5,2014,6
SG-2015-JW5220111-42108,TEC-PH-3805,2015-04-14,2015-04-17,3,2015,4
MX-2015-CC1210082-42245,TEC-PH-5268,2015-08-29,2015-02-09,4,2015,8
ID-2015-RD1993092-42140,OFF-AP-4961,2015-05-16,2015-05-18,2,2015,5
CM-2013-BP123022-41621,OFF-AP-4733,2013-12-13,2013-12-15,2,2013,12
ES-2012-SA20830139-40998,FUR-BO-5950,2012-03-30,2012-03-04,4,2012,3
IN-2013-EM1381058-41308,FUR-BO-5762,2013-03-02,2013-07-02,4,2013,2
IN-2014-CS12175130-41788,TEC-PH-5356,2014-05-29,2014-01-06,3,2014,5
IT-2013-JD16060120-41515,OFF-ST-5691,2013-08-29,2013-01-09,3,2013,8
IN-2012-GH1466527-41074,FUR-CH-5412,2012-06-14,2012-06-16,2,2012,6
IN-2015-CM1193527-42244,OFF-AP-3578,2015-08-28,2015-08-31,3,2015,8
MX-2012-JB1600093-41208,TEC-PH-5839,2012-10-26,2012-10-27,1,2012,10
RS-2015-RB9465108-42082,TEC-PH-5268,2015-03-19,2015-03-23,4,2015,3
