order_id,customer_id,sales,discount,profit,shipping_cost
IN-2013-BP1123058-41329,BP-1123058,1878,0.0,582,704
US-2012-RR1952536-41270,RR-1952536,1696,0.2,-148,704
ES-2013-BS1136545-41472,BS-1136545,2402,0.15,763,699
CA-2013-AH10030140-41635,AH-100301404,668,0.2,75,45
IN-2012-DP131057-41215,DP-131057,2526,0.1,561,689
CA-2013-AH10030140-41635,AH-100301404,323,0.0,61,26
CG-2012-AH1003033-41165,AH-1003033,3817,0.0,1068,678
CA-2012-AH10030140-41041,AH-100301404,279,0.2,20,11
CA-2012-AH10030140-41273,AH-100301406,34,0.0,11,8
ES-2015-PO18865139-42018,PO-18865139,4141,0.0,1697,668
IN-2012-DL128657-40918,DL-128657,2875,0.1,511,665
ID-2014-JB1600059-41873,JB-1600059,3200,0.17,-77,660
IN-2015-BF1100558-42319,BF-1100558,4518,0.0,632,658
IN-2015-VG2180558-42273,VG-2180558,5667,0.0,2097,658
ES-2013-GT14710139-41621,GT-14710139,5785,0.0,404,656
IT-2012-ZC2191048-41174,ZC-2191048,3018,0.2,377,655
CA-2014-AH10030140-41719,AH-100301408,86,0.0,38,5
IT-2014-EB1384045-41706,EB-1384045,2092,0.1,720,652
IN-2015-AP1091527-42244,AP-1091527,2761,0.0,110,644
IN-2015-SW2027558-42125,SW-2027558,2174,0.0,500,637
MX-2015-JH15820141-42356,JH-15820141,3473,0.0,868,634
US-2012-AH10030140-41206,AH-100301404,49,0.2,18,2
IR-2015-TG1164060-42265,TG-1164060,2108,0.0,527,630
CA-2012-AH10030140-41273,AH-100301406,18,0.0,8,1
IN-2012-PB19210127-41259,PB-19210127,2197,0.0,153,627
MZ-2014-DG330087-41991,DG-330087,2582,0.0,593,627
IN-2013-SG2047058-41424,SG-2047058,1526,0.0,732,625
CA-2012-AH10030140-41020,AH-100301406,9,0.2,3,1
IN-2013-GP1474058-41419,GP-1474058,1745,0.0,226,616
IN-2015-MW182207-42221,MW-182207,4191,0.1,1164,614
CA-2012-AH10030140-41041,AH-100301404,8,0.0,3,1
IN-2015-CS1246011-42074,CS-1246011,3063,0.0,581,609
CA-2015-AH10030140-42357,AH-100301406,18,0.2,2,1
ES-2015-MS1798048-42227,MS-1798048,4473,0.0,313,604
IT-2014-KC1667548-41882,KC-1667548,1502,0.0,225,600
IN-2015-DB1340527-42022,DB-1340527,5048,0.0,656,595
CA-2015-AS10045140-42007,AS-100451408,695,0.5,-27,160
IT-2015-DK13090120-42345,DK-13090120,2188,0.0,1050,593
IN-2015-CS1184558-42354,CS-1184558,1920,0.0,652,592
MX-2015-EM1420082-42328,EM-1420082,1704,0.0,119,592
UP-2012-DW3480137-41221,DW-3480137,1858,0.0,130,590
IN-2014-AS1022527-41797,AS-1022527,3298,0.0,1055,589
MX-2012-ST2053093-41234,ST-2053093,2443,0.0,121,589
CG-2014-BW106533-41727,BW-106533,3808,0.0,1523,588
IN-2015-LA1678059-42242,LA-1678059,3427,0.47,-452,586
ES-2013-AB10150139-41537,AB-10150139,3441,0.1,38,585
IN-2015-JH158207-42140,JH-158207,2863,0.1,858,581
CA-2015-AS10045140-42218,AS-100451402,1439,0.4,-263,103
ES-2014-BE1141048-41967,BE-1141048,1487,0.0,728,580
IN-2012-SZ2003527-41221,SZ-2003527,3200,0.0,1183,576
IN-2012-RM1937558-41209,RM-1937558,2300,0.0,91,573
ES-2015-HG1484545-42327,HG-1484545,5729,0.1,63,572
MO-2015-DP310586-42305,DP-310586,5301,0.0,2597,568
CA-2014-AS10045140-41908,AS-100451404,477,0.15,84,43
US-2015-AS10045140-42252,AS-100451404,88,0.7,-58,23
ES-2014-JB1600048-41668,JB-1600048,3219,0.0,965,564
ID-2013-AM1070559-41535,AM-1070559,2487,0.17,-269,562
MO-2014-AB25586-41966,AB-25586,2266,0.0,113,556
IN-2013-RP192707-41438,RP-192707,3068,0.1,1124,555
IN-2014-BK1126011-41940,BK-1126011,3728,0.0,1192,553
IN-2014-JM1525027-41985,JM-1525027,1581,0.0,0,550
IN-2013-GP1474058-41419,GP-1474058,1916,0.0,498,548
CA-2015-AS10045140-42281,AS-100451404,171,0.2,-6,12
ES-2014-NZ1856545-41975,NZ-1856545,2432,0.1,513,546
CA-2015-AS10045140-42007,AS-100451408,28,0.7,-21,5
ID-2014-SC20695102-41667,SC-20695102,2465,0.25,197,546
IN-2013-NC186257-41401,NC-186257,1847,0.0,738,545
ES-2014-NF183858-41970,NF-183858,2899,0.0,927,541
IN-2013-NZ185657-41606,NZ-185657,2891,0.1,96,541
IT-2013-PM1894045-41546,PM-1894045,2016,0.15,0,540
ES-2014-MZ1733545-41885,MZ-1733545,3155,0.1,34,539
CG-2014-HM498033-41846,HM-498033,3856,0.0,1465,533
IN-2015-RW195407-42327,RW-195407,3524,0.1,861,531
ES-2013-LH1715545-41444,LH-1715545,2167,0.15,790,531
MX-2013-FH1436582-41558,FH-1436582,2556,0.0,178,530
ES-2012-KM1666048-41129,KM-1666048,1469,0.0,308,527
ES-2012-PO1886545-41217,PO-1886545,4448,0.15,1517,527
US-2012-AS10045140-41116,AS-100451406,65,0.0,32,4
MX-2014-AB1006028-41755,AB-1006028,2472,0.0,914,523
IN-2014-DB130607-41999,DB-130607,3739,0.1,747,522
IT-2014-VM2168591-41711,VM-2168591,2570,0.5,-2211,520
CA-2014-AS10045140-41727,AS-100451408,31,0.0,7,3
ES-2013-DM1352548-41369,DM-1352548,2875,0.5,-1783,516
ES-2013-NM18520120-41634,NM-18520120,1741,0.0,261,515
IN-2014-LC168857-41747,LC-168857,1601,0.1,587,511
IN-2012-RO1978027-41052,RO-1978027,3670,0.0,367,510
CA-2015-AS10045140-42218,AS-100451402,36,0.2,12,1
ES-2014-EM1406548-41775,EM-1406548,1900,0.0,589,506
CA-2015-AS10045140-42007,AS-100451408,15,0.7,-12,1
IT-2012-ON1871545-40955,ON-1871545,4544,0.1,1868,506
IN-2014-VS2182027-41790,VS-2182027,1455,0.0,116,504
IN-2014-CM121157-41913,CM-121157,1943,0.1,258,499
CA-2015-AB10060140-42315,AB-100601404,2036,0.0,366,524
CA-2014-AB10060140-41884,AB-100601406,4355,0.2,1415,82
ID-2014-JK153257-41984,JK-153257,1695,0.1,-37,498
IT-2015-RP1927045-42081,RP-1927045,1505,0.15,-265,498
IN-2015-DW1354078-42357,DW-1354078,1954,0.0,312,498
CA-2015-AB10060140-42315,AB-100601404,449,0.2,-73,47
US-2014-AB10060140-41712,AB-100601408,160,0.0,44,13
CA-2015-AB10060140-42315,AB-100601404,108,0.0,32,11
MX-2015-GM1444037-42265,GM-1444037,1213,0.002,508,493
IN-2014-SV2081558-41968,SV-2081558,1590,0.0,572,493
IN-2014-MM1792027-41950,MM-1792027,2330,0.0,1025,492
IN-2015-JK1612059-42204,JK-1612059,3278,0.07,140,492
ID-2013-EM14200130-41502,EM-14200130,3741,0.17,946,491
CA-2015-AB10060140-42314,AB-100601402,67,0.0,31,7
IN-2013-PM1894059-41284,PM-1894059,3637,0.07,156,487
MX-2014-AT1043582-41667,AT-1043582,2455,0.0,785,487
ID-2013-AB1001527-41439,AB-1001527,1024,0.5,-286,487
CA-2015-AB10060140-42314,AB-100601402,167,0.0,82,6
CA-2014-AB10060140-41884,AB-100601406,24,0.0,11,6
MX-2013-PV1898518-41614,PV-1898518,2297,0.0,988,483
IT-2014-SB2029064-41887,SB-2029064,2671,0.0,534,483
SO-2015-SM10005116-42265,SM-10005116,3834,0.0,268,481
CA-2014-AB10060140-41884,AB-100601406,49,0.0,23,6
IN-2013-KH1633059-41489,KH-1633059,3501,0.17,210,479
IN-2015-MP181757-42347,MP-181757,1725,0.1,747,479
IN-2013-LH1702027-41572,LH-1702027,1583,0.0,174,479
CA-2015-AB10060140-42132,AB-100601404,79,0.0,28,5
ID-2014-CR126257-41878,CR-126257,2760,0.1,-214,475
IN-2012-NC1862511-41041,NC-1862511,3078,0.0,523,474
IT-2012-GM1468091-41215,GM-1468091,1983,0.5,-1784,473
ES-2015-RA1994545-42218,RA-1994545,1112,0.1,296,472
ES-2012-DB1306048-41171,DB-1306048,3616,0.0,36,471
US-2014-AB10060140-41712,AB-100601408,127,0.0,40,3
IN-2014-RF197357-41709,RF-197357,2892,0.1,160,470
ES-2013-JH1582048-41306,JH-1582048,3263,0.0,848,469
US-2014-AB10060140-41712,AB-100601408,46,0.0,20,2
MX-2015-DM1295551-42103,DM-1295551,3117,0.2,38,466
CA-2014-AB10060140-41881,AB-100601406,27,0.0,8,2
MX-2015-BE1133582-42082,BE-1133582,1888,0.0,887,465
IN-2014-SO2033527-41914,SO-2033527,3000,0.0,1080,465
ES-2014-DK12835120-41651,DK-12835120,3801,0.0,1444,465
SA-2015-LC7050110-42236,LC-7050110,5211,0.0,1146,463
IN-2012-PB19210127-41259,PB-19210127,1356,0.0,311,458
IN-2015-CG125207-42077,CG-125207,3569,0.1,674,458
CA-2013-AB10060140-41535,AB-100601404,18,0.0,8,1
ID-2015-HG1502559-42194,HG-1502559,2910,0.07,125,456
ID-2014-AD1018059-41801,AD-1018059,3126,0.27,-128,455
ES-2012-BP11155139-41130,BP-11155139,5276,0.1,1758,454
ID-2015-AA10480130-42080,AA-10480130,2645,0.17,0,452
ID-2014-RL196157-41641,RL-196157,1637,0.1,-36,452
CA-2014-AB10060140-41884,AB-100601406,3,0.2,1,1
ID-2013-SW2024559-41557,SW-2024559,2645,0.17,0,451
CA-2014-AB10060140-41884,AB-100601406,6,0.0,2,1
IN-2012-BW1111027-41076,BW-1111027,3238,0.3,-740,449
ES-2015-YC21895139-42097,YC-21895139,2291,0.1,127,448
MX-2012-JM1558082-41045,JM-1558082,2124,0.0,488,447
BO-2015-MZ733513-42046,MZ-733513,2757,0.0,744,446
ES-2014-JF15295120-41924,JF-15295120,1549,0.0,139,443
CA-2015-AB10060140-42264,AB-100601406,20,0.2,7,1
UP-2015-DJ3510137-42202,DJ-3510137,3146,0.0,629,443
ES-2015-MF1825045-42330,MF-1825045,2456,0.15,664,442
IT-2012-TC2129545-41058,TC-2129545,2228,0.35,-754,440
CA-2015-AB10060140-42314,AB-100601402,4,0.0,2,1
IN-2015-CP1234058-42202,CP-1234058,4001,0.0,1440,439
ES-2015-EH1412545-42245,EH-1412545,4876,0.15,745,439
IN-2013-NC183407-41634,NC-183407,1788,0.3,204,439
IN-2015-BF1100558-42319,BF-1100558,3622,0.0,1267,438
ID-2014-JS1603059-41760,JS-1603059,1242,0.47,-140,437
ES-2012-AM10360139-41136,AM-10360139,4453,0.0,1424,433
IN-2015-JF1519021-42341,JF-1519021,2673,0.0,1069,432
IN-2014-AB100157-41815,AB-100157,2046,0.1,591,432
ES-2014-JG15160139-41660,JG-15160139,5451,0.0,2071,432
CA-2015-AH10075140-42301,AH-100751406,637,0.3,-127,188
IN-2015-AG1033059-42197,AG-1033059,1722,0.17,539,430
CA-2015-AH10075140-42301,AH-100751406,210,0.0,50,79
ES-2015-NF1847548-42248,NF-1847548,1007,0.1,134,428
CA-2015-AH10075140-42301,AH-100751406,240,0.3,-13,68
IN-2012-DR129407-41066,DR-129407,4624,0.1,1644,427
ES-2012-NB1865548-41194,NB-1865548,1066,0.1,-11,427
IN-2014-NM1844527-41800,NM-1844527,957,0.0,0,427
IN-2015-TA213857-42351,TA-213857,4864,0.1,162,426
CA-2014-AH10075140-41898,AH-100751406,841,0.2,294,57
ID-2015-SC20380102-42165,SC-20380102,1433,0.15,-84,424
SF-2012-PA9060117-40954,PA-9060117,2784,0.0,779,422
ES-2014-RB19570120-41971,RB-19570120,3063,0.0,1470,419
CA-2014-AH10075140-41817,AH-100751404,231,0.0,11,43
CA-2015-AH10075140-42110,AH-100751404,196,0.0,70,36
US-2012-LH1675036-41129,LH-1675036,2044,0.2,-332,417
CA-2014-AH10075140-41991,AH-100751402,165,0.2,-6,11
IN-2013-KB1658527-41488,KB-1658527,1521,0.0,0,416
ES-2013-LH1715545-41444,LH-1715545,2443,0.1,760,416
CA-2015-AH1007523-42101,AH-1007523,137,0.0,54,11
IR-2014-MZ751560-41853,MZ-751560,1141,0.0,570,415
IN-2015-DM1334558-42146,DM-1334558,1865,0.0,802,413
ID-2012-CA1196566-40949,CA-1196566,6998,0.0,2939,413
ES-2014-SC20305120-41909,SC-20305120,1091,0.0,119,411
IN-2015-MH1811558-42157,MH-1811558,1094,0.0,328,411
IN-2014-KS163007-41912,KS-163007,1320,0.1,484,410
IN-2012-BG1174078-41108,BG-1174078,2555,0.0,664,410
RS-2015-CR2625108-42230,CR-2625108,3498,0.0,594,410
CA-2015-AH10075140-42301,AH-100751406,35,0.0,14,8
IN-2015-DK1309027-42308,DK-1309027,2272,0.0,977,406
IN-2014-JL1583527-41845,JL-1583527,5211,0.0,833,404
IN-2015-AP1072058-42284,AP-1072058,2582,0.0,361,404
IN-2015-CR1282058-42294,CR-1282058,3194,0.0,830,403
IN-2014-BF110807-41976,BF-110807,1704,0.1,378,403
IN-2015-JM15265102-42316,JM-15265102,1538,0.15,325,403
IN-2014-NM1844527-41800,NM-1844527,1381,0.0,593,403
IT-2012-TW2102545-41172,TW-2102545,1181,0.1,498,401
IT-2012-RB1933045-41080,RB-1933045,1696,0.1,734,401
CA-2015-AH10075140-42273,AH-100751406,190,0.2,-42,8
CA-2015-AH10075140-42144,AH-100751408,314,0.2,-35,6
SF-2015-AB10060117-42334,AB-10060117,1237,0.0,606,400
EG-2013-JR567038-41363,JR-567038,1274,0.0,140,399
MX-2012-MD1735028-41222,MD-1735028,3172,0.0,856,399
CA-2015-AH10075140-42301,AH-100751406,43,0.0,21,5
ES-2013-EB13840139-41487,EB-13840139,3979,0.0,1989,398
CA-2014-AH10075140-41991,AH-100751402,51,0.2,18,4
CA-2014-AH10075140-41817,AH-100751404,17,0.0,8,4
CA-2014-AH10075140-41817,AH-100751404,12,0.0,5,2
AJ-2014-JL58359-41662,JL-58359,2058,0.0,946,393
IN-2012-EP1391559-41049,EP-1391559,2539,0.07,709,393
ES-2015-MS17770139-42275,MS-17770139,2898,0.0,1420,393
IT-2012-CM1265545-41218,CM-1265545,1320,0.15,357,390
LH-2015-JC610575-42032,JC-610575,2171,0.7,-2750,390
IN-2015-GB145307-42260,GB-145307,4448,0.1,444,386
CA-2015-AH10075140-42335,AH-100751408,12,0.0,3,1
US-2012-JH161805-41264,JH-161805,2300,0.4,38,386
EG-2014-MT807038-41675,MT-807038,2615,0.0,1072,384
IN-2012-AB1010558-41270,AB-1010558,1066,0.0,394,383
CA-2015-AH10075140-42301,AH-100751406,2,0.0,0,1
LT-2012-CV280572-41025,CV-280572,2544,0.0,814,383
IN-2012-NH1861092-41187,NH-1861092,3694,0.0,886,382
ID-2014-HJ1487527-41875,HJ-1487527,2214,0.3,-221,382
MX-2014-JL1517518-41903,JL-1517518,1236,0.0,111,381
MX-2015-MY1829593-42355,MY-1829593,1805,0.0,126,381
CA-2012-AH10075140-41228,AH-100751404,5,0.0,2,1
CA-2013-AH10075140-41629,AH-100751406,3,0.2,0,1
CA-2015-AH10075140-42273,AH-100751406,8,0.7,-6,1
MX-2015-KC1654093-42158,KC-1654093,1810,0.0,54,378
MX-2015-CS1246093-42259,CS-1246093,2120,0.0,106,377
IN-2015-HA1492027-42111,HA-1492027,1275,0.0,140,377
ES-2013-MT1781545-41599,MT-1781545,1593,0.15,-225,377
ES-2015-FW1439545-42069,FW-1439545,1114,0.1,383,376
ES-2013-BH1171048-41478,BH-1171048,2944,0.1,1112,376
ID-2015-DK1289559-42315,DK-1289559,3309,0.17,318,374
MX-2015-KD1627018-42330,KD-1627018,897,0.0,322,374
ES-2012-SC208458-41070,SC-208458,2056,0.0,390,372
MX-2013-CY1274582-41531,CY-1274582,2365,0.002,18,372
IN-2012-HL150407-41237,HL-150407,1336,0.4,44,371
IN-2013-CT1199566-41496,CT-1199566,3038,0.0,1245,371
ES-2014-CC12370139-41718,CC-12370139,2698,0.0,890,369
LT-2014-GR456072-42003,GR-456072,3799,0.0,455,369
IN-2013-TT2107058-41551,TT-2107058,2756,0.0,413,369
IT-2013-PO19195120-41492,PO-19195120,983,0.1,-11,369
IN-2013-ED13885144-41549,ED-13885144,1719,0.27,117,368
IN-2015-AP1091559-42089,AP-1091559,1421,0.17,428,367
MX-2015-TM2149031-42329,TM-2149031,1053,0.002,441,367
IT-2012-AW1084091-41242,AW-1084091,1440,0.5,-1268,367
IN-2012-DP131057-41215,DP-131057,2544,0.1,621,366
CA-2015-AH10075140-42144,AH-100751408,27,0.2,10,1
RO-2013-SG10605107-41614,SG-10605107,1554,0.0,341,366
MX-2014-BM1178582-41976,BM-1178582,1278,0.0,89,365
MX-2013-FH1436582-41628,FH-1436582,3474,0.0,625,365
MX-2013-DK1337582-41530,DK-1337582,2550,0.0,357,365
CA-2015-AS10090140-42264,AS-100901406,538,0.7,-412,209
CA-2012-AS10090140-41173,AS-100901406,579,0.1,83,64
CA-2013-AS10090140-41587,AS-100901402,1024,0.0,215,62
TU-2013-SF10200134-41417,SF-10200134,934,0.6,-1331,363
CA-2014-AS10090140-41812,AS-100901406,353,0.2,-44,48
SG-2015-JW5220111-42108,JW-5220111,3908,0.0,1563,363
MX-2015-CC1210082-42245,CC-1210082,2142,0.0,556,363
ID-2015-RD1993092-42140,RD-1993092,1900,0.4,-348,360
CM-2013-BP123022-41621,BP-123022,1840,0.0,496,359
ES-2012-SA20830139-40998,SA-20830139,2624,0.0,446,359
IN-2013-EM1381058-41308,EM-1381058,3076,0.0,215,359
IN-2014-CS12175130-41788,CS-12175130,3181,0.17,344,359
IT-2013-JD16060120-41515,JD-16060120,1392,0.1,-139,358
IN-2012-GH1466527-41074,GH-1466527,1296,0.0,285,358
IN-2015-CM1193527-42244,CM-1193527,1682,0.0,487,358
MX-2012-JB1600093-41208,JB-1600093,1278,0.0,89,358
RS-2015-RB9465108-42082,RB-9465108,2570,0.0,976,357
MX-2015-RB1979518-42258,RB-1979518,2332,0.2,349,357
ID-2013-PO191957-41514,PO-191957,1582,0.4,-870,357
CA-2015-AS10090140-42264,AS-100901406,71,0.2,19,16
IN-2014-TS212057-41852,TS-212057,1512,0.0,498,356
CA-2014-AS10090140-41812,AS-100901406,186,0.2,60,15
SF-2015-MV8190117-42362,MV-8190117,2550,0.0,714,355
CA-2015-AS10090140-42264,AS-100901406,47,0.2,14,13
ES-2013-BD11560139-41327,BD-11560139,2285,0.0,845,355
IN-2015-PS1876059-42288,PS-1876059,1029,0.07,10,354
US-2015-FM1421551-42115,FM-1421551,1058,0.002,-2,354
IN-2014-CA1277558-41802,CA-1277558,5751,0.0,2817,353
ES-2014-CD1279048-41899,CD-1279048,2442,0.1,-244,353
IN-2015-NL1831092-42266,NL-1831092,1190,0.0,178,353
IT-2015-TB2105545-42334,TB-2105545,3150,0.1,-35,353
ES-2015-NF1847548-42248,NF-1847548,1599,0.0,719,352
IN-2015-KD1649527-42175,KD-1649527,2063,0.0,123,352
HU-2015-EH412557-42300,EH-412557,1269,0.0,558,352
IN-2012-KB1660058-41136,KB-1660058,3274,0.0,261,351
MX-2015-CS1246093-42259,CS-1246093,848,0.0,110,351
CA-2015-AS10090140-42096,AS-100901402,94,0.0,23,12
ES-2015-MG1769564-42018,MG-1769564,2847,0.0,711,350
ID-2015-VF21715102-42321,VF-21715102,1725,0.25,-483,350
ID-2014-AM1070559-41803,AM-1070559,1479,0.07,-63,350
CA-2015-AS10090140-42264,AS-100901406,22,0.2,2,5
IN-2015-BP11290113-42269,BP-11290113,1282,0.0,12,349
AO-2012-HZ49504-40916,HZ-49504,2478,0.0,49,349
CA-2012-AS10090140-41173,AS-100901406,97,0.0,35,5
IN-2014-EM1382566-41850,EM-1382566,959,0.0,460,348
US-2015-AS10090140-42341,AS-100901408,34,0.0,10,4
IN-2015-BS1180059-42124,BS-1180059,4135,0.17,847,348
MX-2012-DV1346539-41179,DV-1346539,2325,0.0,511,347
IN-2015-MB173057-42179,MB-173057,5486,0.1,2316,346
IT-2012-PC19000120-41004,PC-19000120,1523,0.1,-50,345
IT-2015-CA1231045-42223,CA-1231045,1625,0.15,-76,345
CA-2015-AS10090140-42096,AS-100901402,28,0.0,13,4
ES-2015-MB1808545-42049,MB-1808545,734,0.1,130,344
CA-2012-AS10090140-41266,AS-100901404,13,0.0,3,2
RO-2013-DB3660107-41503,DB-3660107,1391,0.0,69,344
CA-2013-AS10090140-41587,AS-100901402,26,0.0,12,2
MX-2013-BG1174018-41493,BG-1174018,2461,0.0,566,343
CA-2014-AS10090140-41812,AS-100901406,36,0.2,12,2
CA-2014-AS10090140-41762,AS-100901402,18,0.2,-3,1
IN-2013-KB1631578-41495,KB-1631578,1226,0.0,612,340
ID-2014-PK190757-41691,PK-190757,1809,0.3,-258,339
ID-2013-CS121757-41473,CS-121757,1863,0.1,393,339
CA-2014-AS10090140-41894,AS-100901402,6,0.2,2,1
ES-2015-AF1088545-42103,AF-1088545,1244,0.1,-13,338
ES-2013-SJ2050045-41443,SJ-2050045,2364,0.35,-218,338
ES-2014-DM1295545-42004,DM-1295545,1946,0.15,114,337
CA-2014-AS10090140-41762,AS-100901402,12,0.2,-3,1
IT-2013-CC1261048-41289,CC-1261048,2283,0.1,0,337
CG-2013-BW106533-41437,BW-106533,2549,0.0,1172,336
IN-2015-BE114557-42080,BE-114557,3299,0.1,366,336
ES-2013-TG2164014-41591,TG-2164014,2489,0.0,273,335
CA-2014-AS10090140-41762,AS-100901402,5,0.2,1,1
CA-2015-AS10090140-42264,AS-100901406,3,0.7,-2,1
ES-2015-VM2168545-42140,VM-2168545,1189,0.1,250,334
CA-2013-AS10090140-41587,AS-100901402,17,0.0,7,1
MX-2015-SC2069539-42360,SC-2069539,1269,0.0,355,333
ID-2014-SN2056097-41896,SN-2056097,3499,0.5,-3009,333
ID-2014-CD122807-41646,CD-122807,2993,0.3,726,333
ES-2015-CC1210045-42182,CC-1210045,815,0.15,287,333
ES-2013-BG1103544-41468,BG-1103544,1245,0.0,161,332
IN-2015-CC125507-42046,CC-125507,1027,0.1,182,332
IN-2015-AB101057-42153,AB-101057,1703,0.1,737,332
IN-2015-SV2078559-42110,SV-2078559,1803,0.17,-130,332
ES-2015-HW1493545-42335,HW-1493545,676,0.1,195,330
IN-2012-AS1028558-41221,AS-1028558,969,0.0,348,330
ES-2015-LD1685545-42265,LD-1685545,1637,0.1,90,329
MX-2015-NS1850528-42059,NS-1850528,1655,0.002,13,329
MX-2014-CM1271582-41885,CM-1271582,976,0.2,232,328
IN-2014-VG2180527-41996,VG-2180527,731,0.0,175,328
GH-2015-JD606049-42172,JD-606049,1239,0.0,0,327
ID-2015-MG17680144-42078,MG-17680144,1680,0.27,368,327
IN-2015-CD1228058-42197,CD-1228058,2190,0.0,65,327
ES-2015-DB13210139-42164,DB-13210139,935,0.1,114,327
ES-2015-CS118608-42292,CS-118608,1026,0.0,441,326
IN-2015-AF1088558-42222,AF-1088558,2550,0.0,280,326
ID-2013-BN11470130-41633,BN-11470130,2667,0.17,-417,326
ES-2013-GG1465045-41615,GG-1465045,1224,0.15,-129,326
ES-2014-EM1406548-41775,EM-1406548,2605,0.0,1042,326
IR-2014-BS166560-41807,BS-166560,2962,0.0,207,325
IN-2015-AC1045058-42311,AC-1045058,2664,0.0,905,325
ES-2013-CK1220564-41422,CK-1220564,1513,0.0,741,325
ES-2014-JD16150139-41868,JD-16150139,1233,0.0,234,325
UP-2012-CC2550137-41062,CC-2550137,855,0.0,384,325
IT-2012-MS17830139-41103,MS-17830139,956,0.1,-95,324
CA-2013-AS10090140-41587,AS-100901402,17,0.0,8,1
ES-2012-GT14710120-41198,GT-14710120,1838,0.2,160,324
IN-2012-CL1270058-41226,CL-1270058,4498,0.0,674,323
ES-2015-MM1792045-42199,MM-1792045,1824,0.65,-1303,321
MX-2015-CM1216093-42158,CM-1216093,2344,0.0,46,321
IN-2015-DB1306027-42353,DB-1306027,2043,0.0,756,321
MZ-2015-JW522087-42183,JW-522087,856,0.0,265,321
US-2015-BN1147082-42358,BN-1147082,2509,0.0,426,320
IN-2013-JC157757-41310,JC-157757,819,0.1,191,320
MX-2012-HL1504093-40929,HL-1504093,2797,0.2,0,320
MX-2013-LH1690018-41489,LH-1690018,1455,0.0,261,320
ID-2015-DV1304559-42304,DV-1304559,2189,0.07,541,320
IN-2013-BT1153058-41331,BT-1153058,5451,0.0,327,320
IR-2013-BM165060-41436,BM-165060,1291,0.0,296,319
IN-2012-MG1820558-40962,MG-1820558,1526,0.0,732,319
CA-2012-AS10090140-41173,AS-100901406,3,0.2,1,1
MX-2014-FC1424528-41840,FC-1424528,1869,0.0,205,318
MX-2014-TT2122051-41727,TT-2122051,1815,0.0,471,318
IN-2015-CY1274558-42300,CY-1274558,959,0.0,460,317
MX-2015-SJ2021582-42179,SJ-2021582,3045,0.0,1035,317
MX-2014-PB1880593-41942,PB-1880593,2125,0.0,297,316
CM-2013-BP123022-41621,BP-123022,976,0.0,292,316
IN-2014-RW1969027-41763,RW-1969027,1266,0.0,265,316
CA-2012-AS10090140-41173,AS-100901406,13,0.0,5,1
ZA-2012-DB3360146-41159,DB-3360146,2134,0.0,682,315
ES-2013-DK1315048-41386,DK-1315048,4748,0.1,844,315
SF-2014-RW9540117-41942,RW-9540117,1867,0.0,242,314
IN-2012-PS1904527-41014,PS-1904527,1001,0.0,250,314
CA-2014-AS10090140-41894,AS-100901402,1,0.8,-3,1
CA-2014-AB10105140-41991,AB-101051402,9892,0.0,4946,498
IN-2015-MO1780066-42308,MO-1780066,4306,0.0,1722,314
IN-2014-NF1847527-41741,NF-1847527,899,0.0,323,313
IN-2014-MR1754558-41954,MR-1754558,763,0.0,381,313
IT-2013-CB1241548-41560,CB-1241548,2544,0.0,1093,313
ID-2013-LC1705092-41560,LC-1705092,1136,0.4,-189,313
